#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
49        	77        	ok              	4.0740000000e-01	4.7120000000e+02	1.6239288858e+19	6.2622733364e+18	1.8541241833e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	77        	ok              	3.4740000000e-01	4.7120000000e+02	1.3847635657e+19	5.3399944945e+18	1.8541237266e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	77        	ok              	2.9630000000e-01	4.7120000000e+02	1.1810745618e+19	4.5545203475e+18	1.8541233188e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	77        	ok              	2.5260000000e-01	4.7120000000e+02	1.0068826922e+19	3.8827939243e+18	1.8541229524e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	77        	ok              	2.1540000000e-01	4.7120000000e+02	8.5860043912e+18	3.3109810423e+18	1.8541226206e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	77        	ok              	1.8370000000e-01	4.7120000000e+02	7.3224168502e+18	2.8237103876e+18	1.8541223084e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	77        	ok              	1.5670000000e-01	4.7120000000e+02	6.2461755505e+18	2.4086849087e+18	1.8541220288e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	77        	ok              	1.3360000000e-01	4.7120000000e+02	5.3253916756e+18	2.0536075546e+18	1.8541217770e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	77        	ok              	1.1390000000e-01	4.7120000000e+02	4.5401346979e+18	1.7507926682e+18	1.8541215509e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	77        	ok              	9.7150000000e-02	4.7120000000e+02	3.8724671658e+18	1.4933231581e+18	1.8541213483e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	76        	ok              	8.2840000000e-02	4.7120000000e+02	3.3020709110e+18	1.2733596544e+18	1.8541250608e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
